Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,Nikola Jokic,DEN,C,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4
13,Tyrese Maxey,PHI,PG,70,70,37.5,9.1,20.3,0.45,3,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.5,3.2,3.7,6.2,1,0.5,1.7,2.2,25.9
14,Anthony Edwards,MIN,SG,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13,0.515,0.522,5.4,6.4,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9
15,Trae Young,ATL,PG,54,54,36,8,18.7,0.43,3.2,8.7,0.373,4.8,10,0.479,0.516,6.4,7.5,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2,25.7
16,LeBron James,LAL,PF,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7
17,Kyrie Irving,DAL,SG,58,58,35,9.7,19.5,0.497,3,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.8,4.2,5,5.2,1.3,0.5,1.8,1.9,25.6
18,Ja Morant,MEM,PG,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1
19,Anthony Davis,LAL,C,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9,15.5,0.582,0.567,5.5,6.8,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7
20,Damian Lillard,MIL,PG,73,73,35.3,7.4,17.5,0.424,3,8.5,0.354,4.4,9,0.49,0.51,6.5,7,0.5,3.9,4.4,7,1,0.2,2.6,1.8,24.3
21,DeMar DeRozan,CHI,SF,79,79,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2,24
22,Julius Randle,NYK,PF,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24
23,LaMelo Ball,CHO,PG,22,22,32.3,8.3,19.2,0.433,3.2,9,0.355,5.1,10.3,0.5,0.515,4.1,4.7,1.3,3.8,5.1,8,1.8,0.2,3.8,3.6,23.9
24,Desmond Bane,MEM,SG,42,42,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,0.552,3.3,3.8,0.9,3.5,4.4,5.5,1,0.5,2.7,2.9,23.7
25,Kawhi Leonard,LAC,SF,68,68,34.3,9,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7
